rooms;bedrooms;bathrooms;surface_total;surface_covered;price;property_type
2;1;1;50;50;190000;Departamento
2;1;1;67;43;145000;Departamento
2;1;2;51;43;129500;Departamento
2;1;1;50;50;102000;Departamento
2;1;2;77;45;135500;Departamento
2;1;1;39;35;97500;Departamento
2;1;1;59;40;130000;Departamento
2;1;1;48;45;85000;Departamento
2;1;1;57;48;112000;Departamento
2;1;1;40;38;70000;Departamento
2;1;1;39;37;95000;Departamento
2;1;1;48;43;110000;Departamento
2;1;1;91;55;234500;Departamento
2;1;1;42;38;175000;Departamento
2;1;1;49;49;178000;Departamento
2;1;1;27;27;62000;Departamento
2;2;1;51;51;124000;Departamento
2;1;;41;41;85000;Departamento
2;1;1;65;53;122000;Departamento
2;1;1;32;32;75000;Departamento
2;1;1;27;26;62500;Departamento
2;1;1;76;68;140000;Departamento
2;1;1;36;36;95000;Departamento
2;1;1;37;33;90000;Departamento
2;1;1;40;33;115000;Departamento
2;1;1;50;44;162000;Departamento
2;1;1;50;44;140000;Departamento
2;1;2;55;50;322000;Departamento
2;1;1;55;51;250000;Departamento
2;1;1;44;41;165000;Departamento
2;1;1;63;59;234000;
2;1;1;42;40;122000;Departamento
2;1;1;43;43;105000;Departamento
2;1;1;48;45;130000;Departamento
2;1;1;33;33;115000;Departamento
2;1;1;55;49;240000;Departamento
2;1;1;50;44;168000;Departamento
2;1;2;55;55;179500;Departamento
2;1;2;51;51;215000;Departamento
2;1;1;33;33;105100;Departamento
2;1;;50;45;232900;Departamento
2;1;1;50;50;195000;Departamento
2;1;1;58;48;175000;Departamento
2;1;1;48;45;199000;Departamento
2;1;1;50;44;173000;Departamento
2;1;1;63;59;234000;
2;1;1;45;45;110000;Departamento
2;1;1;37;34;125000;Departamento
2;1;1;41;38;129000;Departamento
2;1;1;50;47;252000;Departamento
2;1;1;46;41;109000;Departamento
2;1;1;40;40;75000;Departamento
2;1;1;42;42;104000;Departamento
2;1;1;46;40;85900;Departamento
2;1;1;50;50;102000;Departamento
2;1;1;40;40;67000;Departamento
2;1;1;43;38;74000;Departamento
2;1;1;78;39;78000;
2;1;1;33;30;53000;Departamento
2;1;1;37;34;50000;Departamento
2;1;1;39;34;50000;Departamento
2;1;1;49;45;75000;Departamento
2;1;1;42;42;100000;Departamento
2;1;1;44;41;165000;Departamento
2;1;1;45;38;149000;Departamento
2;1;1;40;32;115000;Departamento
2;1;1;151;108;300000;
2;1;1;47;43;140000;Departamento
2;1;1;29;25;50000;Departamento
2;1;1;42;42;104000;Departamento
2;1;1;38;38;92500;
2;1;1;67;37;125000;Departamento
2;1;1;36;34;84000;Departamento
2;1;1;60;52;185000;Departamento
2;1;1;48;39;147000;Departamento
2;1;1;48;48;119900;Departamento
2;1;1;60;49;162000;Departamento
2;1;1;45;38;88000;Departamento
2;1;1;60;49;175000;Departamento
2;1;1;45;45;195000;Departamento
2;1;1;38;34;75000;Departamento
2;1;1;46;40;91500;Departamento
2;1;1;60;37;97000;Departamento
2;1;;40;40;87000;Departamento
2;1;1;35;;89000;Departamento
2;1;1;;;75000;Departamento
2;1;1;50;50;68000;Departamento
2;1;1;38;38;58000;Departamento
2;1;1;32;32;71500;Departamento
2;1;1;;;75000;Departamento
2;1;1;;;75000;Departamento
2;1;1;66;56;141750;Departamento
2;1;1;60;50;310000;Departamento
2;1;1;48;42;200000;Departamento
2;1;1;50;44;177000;Departamento
2;1;1;50;44;180000;Departamento
2;1;1;35;34;100000;Departamento
2;1;1;38;36;89000;Departamento
2;1;1;39;36;106948;Departamento
2;1;1;49;38;100000;Departamento
2;1;1;38;35;99573;Departamento
2;1;1;48;46;169000;Departamento
2;1;2;100;70;165000;Departamento
2;1;1;53;48;120000;
2;1;1;39;36;105948;Departamento
2;1;1;47;42;162990;Departamento
2;1;1;54;42;109000;Departamento
2;1;1;42;42;100000;Departamento
2;1;1;56;56;107000;Departamento
2;1;1;30;30;59000;Departamento
2;1;1;74;46;179000;Departamento
2;1;1;50;46;160000;Departamento
2;1;1;53;46;149725;Departamento
2;1;1;48;43;119000;Departamento
2;1;1;79;75;259500;Departamento
2;1;1;68;55;190000;Departamento
2;1;1;38;36;89900;Departamento
2;1;1;44;38;105000;Departamento
2;1;1;48;45;85000;Departamento
2;1;1;50;45;109000;Departamento
2;1;1;56;50;143000;Departamento
2;1;1;45;43;115000;Departamento
